('__HVKcFKVdr6lVFH2rdQVw', 'Bee', 'Philadelphia, PA', 'October 2007', 6L, 70L, 7L, None, '6-57-20', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('TrsSsxkOFQQNhhiWzybLgQ', 'Patrick C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('TSw2FmUF4-ud_d0INYKg6w', 'Kristin S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 13))
('tt1UXc0bC0pVY4WmRxIs4w', 'Jennie H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('tTPqu5hCnf7Ba4IahGd7aQ', 'Kimberly F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 57, 26))
('TtuLyYy4Gf41XA2JUQgY8A', 'Charlotte D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('tu1XdABnHGNVNguWxdZ_HA', 'Paige B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 22))
('tUVprgEsy_yIdq7nt2JtlQ', 'Danielle S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('Tv50EBksHW2u_B1KwloKmQ', 'Natalie B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('Tvegk5s428x5XwFZcTQypg', 'Ally G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('TvK99BZqEpm1ltRWsdNNMg', 'Chris G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('TvOXyw4cLa7u26ZaVRqmbQ', 'Aymee S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('tWES6_T7MRybOtqNS9NcVw', 'Candice B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('TwVexh6pnRrUJ-PxH6YxPA', 'Ken H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('tz-Ny8dmDG9EcUOWmjY59A', 'Maxwell S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('Tz3JG2OtcEddmebK4TGzSg', 'Chris S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 22))
('tz4eV6-OWT6dl0ME_qWSdw', 'Melanie D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 1))
('tZASvnyUoAWTfQCtFz0YyQ', 'Jon D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('TZwKmfmbzevOtOoZhlZVxA', 'Jason B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 40))
('TZXkCVTMcQ-AdfNx8CdgTA', 'Julia P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 20))
('u_BKKzGs9zppMajZPLh6rQ', 'John K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('U0X_DfcmfnUHXa-b_ZFQFw', 'Elisa B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 59, 47))
('u1P7POW_Hy4V8xaOWbvf8g', 'Ling P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 54, 19))
('u23fh2SYi2E3fllnNa5GZA', 'Justin F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('U29rk_OCACffHP_K3YID4Q', 'Chris W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('u2p0Hfsrl_fOgtUPCqG5WQ', 'Hanh N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('u3RwDtrCRjIppZRpPpBk-A', 'Matt W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 27))
('U4e_S-ZeMWD-vW8sqmGosA', 'nicole p.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 27))
('u4mFdl9968nv__ZDRXV-eA', 'Charlie K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('U5fHlsmBlOMhm35oYR3kuw', 'Ryan P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 33))
('u60vmml-bjbtf8IOAC_HwQ', 'Ryan M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('U7NkC-0oMv4-mHAZOowECw', 'Adrian H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('U7XDojS1vwf-cdnADhixjg', 'Meg B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 40))
('U87tFI8zqXhu5T_yqzFBHg', 'Karen B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 15))
('u9qhYrSC-AVPXgvrLHeQZw', 'Jill C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 56))
('ua6QuBe6mar6pDrhHETzJQ', 'Dredge K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('uAu772KpSkb-tPFgZmU-lA', 'Susanne J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('uax8McqQDz1yxPRQ1oZDHQ', 'Mosharaf C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 49))
('uBIm7CBHmu_8brsAcXIRyw', 'Elizabeth P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('uBRowVJMCcdcTqZ7buZQBw', 'Joey S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 31))
('uc0SSQCtqxo-yYC9wXrd2w', 'Anthony L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 7, 50))
('UcDCp-lJ5Y6XQTCWuptlaw', 'Sam P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 35))
('uchRQFxH-EHH8qQEPpL3cg', 'Josh C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('UCj8rnKMjvrHU6WUtqBNvQ', 'Danny S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('UDsj7T9P_lEabv8F3OZu4Q', 'SC V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('UeLXAANxYMjB-Cjrvopp8Q', 'Kate M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 27))
('ueRGoyuQW3PVP1c_LvAsiA', 'Christopher W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 27))
('uFJi0eJJTQmuRuoviqBTfA', 'Joli R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 59))
('UFWfMgrKj828E-F0SOcidg', 'Ronak A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 39))
('uGTVau8bpUhdAdpp4_FBkQ', 'Karina K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('Uhbn32Z68PDFIZSlHpLvuA', 'Aly B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('UHNrsSU5ihtfmFj9j-p6wg', 'Scarlett Z.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 12))
('uhZ3R0s7cW7oqs0kEj-56w', 'Gavin M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 6))
('uI7N_6vWSs7TFxVKy0Eibg', 'Aaron L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('uIKD7cJF4ZWkicin2ulWPg', 'Gina M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 8))
('uisMC1pt9ogd8BCwmmOk9Q', 'Kaitlin R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 23))
('uIXLjQMIxu-PZVnOBjOn8Q', 'Thomas D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('UiYTeeXSTLzD1HiIdzQTGA', 'Scene P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('Uk25yW9c7G9YgK9_MSHJKg', 'Tom H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 57))
('ukLSuk5SEpZylfmKxkBoew', 'Christine Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 6))
('ukOJAPmSrAx3vozjSGnp5A', 'Kristyn A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('uKZaU4nnY9EI8Ir7BSA5nA', 'Mallory P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('ULHt1FppAbbQMqqxcBPfmA', 'Hoi Ning N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 25))
('uLoMprKJsyPezqThFt9C4A', 'Steve M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 16))
('Um_v7uJeGlvfqff5l8tjLA', 'Michelle C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('ums64-P-vHjknPEs484hsQ', 'Jamie C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 54, 5))
('unNVmE92QVo0vLy9zyGPrQ', 'Alexa D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('unXRGJNk92QOp4dOx_sy9g', 'adrienne c.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('uO92L0DCDwLBU8y73EjlMQ', 'Nallely H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('uoqpQlYKK5WrNTlfId2jtQ', 'Erica L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 49))
('Uow8IdaUzecYA_VSwW42Sg', 'Michelle Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('uPr3t2M-OykA8M_oro7j1A', 'Luba P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 20))
('UprwK1j9hc-wSA9DwAiEnw', 'FRANK P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('upUEKIxErRnO8VPNfj-zNg', 'Emily G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('UPYcWzBJiODmHf9qT1MjtA', 'tommy u.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 6, 56))
('Uq-4youY2L5DGDxeJdYP2Q', 'Bekah D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 46))
('Uq1q5PzMmcQLMWx1GLA-CQ', 'PJ H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('uRnKSxqi80IUcV9J1IzbbQ', 'Thad S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 30))
('UrOVUCM56jcyN0jX1darJA', 'Mark P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('UrpPFAnBeHEUMUBIorrKfQ', 'Noah H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 0, 48))
('us_egJTmllVdr8fie6LCYg', 'Mary M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('USD9k93iOIB88v93B5iBcw', 'Alex G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('UszjM6zMjcnoUPeD_13jcw', 'Jackie F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('uT9-aiJcPskdh_-HDf0I-A', 'Zoe E.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 26))
('UtqkJIAmIltAWGN8bLqZZg', 'Jonathan A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('utQUNi4elwTnabFQKsrtQw', 'Stephen M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 19))
('UU00_0T40f9Z93659Nx2-w', 'Mustafa Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 39))
('uUcNCwf86aea7F9AGFBJNQ', 'Stephano R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('uuCUHFwjFK7q6lkLlWa0HA', 'Andy W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 32))
('UUfCgF7KFgx3UYadRncz0A', 'Brian S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 23))
('UuKGoMtKGf1Ciz8aJvWAJA', 'Adam R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('UUlsjgTZVzzTwBL0fqWK9Q', 'Christian F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('UUM31uqPPPijhit67y1rcw', 'Jennifer I.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('uVKvHwKWlSHAzpgRF40cRg', 'Thommy S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 36))
('UvT3YcHmd9ed5Z-bS7dEIA', 'Mariana D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('UvTGyQGAh6pGFta9n9G6qw', 'Charles B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 28))
('UwIXq9s_kvSuysXlHyTouQ', 'Yanez P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('UX_NBK40Sx5P1wsoQO72vg', 'Sarah D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('UXC_285cgKO5LZqqKVRv1Q', 'Taryn G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 31))
('UXcOSMHZM2RPWTgjQbKDJg', 'Daniel T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('uXemEmOBz5uveFAQDDtBwA', 'Deb M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 46))
('UxmBpP5gSHr3bKP-dh39cw', 'Jose S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('UxmcRjJ_5qDu8g3plu8fQg', 'Diya B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 39))
('uxOjXmWuuEuHmF6rXFZfSw', 'Erin G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('UYgAC9mvMYc12Ufc5KVUnA', 'Karl S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('UygKlf42sVKaREOShYzggQ', 'Ryan B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 31))
('uyVECOgOjueRrz5_5X6zVw', 'Meghan S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 36))
('v_bE00eJcYoTM9ucqQmDYw', 'Zareen S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 8))
('V_MU0xyIjsfP5cOiD4a5yQ', 'Lamont W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 21))
('V_yoUaYlS5TGRDishCOnkg', 'Stefano D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 22))
('V-f4kB_6GtZgZhqGI-lmiw', 'Abby I.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('V-heFDGb4Oh3DWO-C7HHNQ', 'Andrew R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('v0ZU3_KMW2Cb9s9vdu4OdQ', 'Philip S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('V1c4IQxLskqydxZhpTcCIA', 'Spencer S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 0, 48))
('v1cl_8bs9C090xydAFFHdQ', 'Victoria W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 5))
('V2_sNPC6Wz0k-XehSwp5kg', 'Marisa M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('V2OQaeZvePoGkbZ-Uye6KA', 'Rachel U.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('V2s2VCuegQzRvI0DXWk6dQ', 'Vincent J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('V47ZJbmKnQ2SbmO6E_O4PA', 'Lewis N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 51))
('v4fP6TjVxM5fbAjlxBQyFg', 'Lawrence K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('V4Yx_l2ksyVVs1qm_STstQ', 'Sara P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 55))
('V5HrLqiD9HmixqNoZY2zEw', 'Dianna L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('v8QDpDDmt9iEyr_bLNPihw', 'Alison S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 36))
('V9n2Qyr-dvNg00BwMWqquQ', 'Sara L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 50))
('vbEf26yXYP0WBsveEXWIlw', 'Matt K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 19))
('vcApLzyIESjaK_r8TTVebA', 'Natalie D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('vcbDpcsJCKhcKeSWQEQbjw', 'Brooke T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('vcHN_SOGbOQhjQYArtpk-A', 'Danni M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('VChVGVNqaUt6yth-vmexuQ', 'Suong T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('VClMTiHXXYlLNjalD3N4XQ', 'Melissa P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 50))
('vd1hmv1pCod-V49kO0TtUw', 'Herb R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('vDba631cinqrllPImuLj9Q', 'Casey T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 33))
('vdq4FkDBlCqhch8oTF2HuQ', 'Arielle T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('vejSrVyu6PTUyAVUcPL3LQ', 'Calen S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('velal34L5DDpfaMxojRhlw', 'Emily G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 47))
('vEsl_mvbIYaWkdx2S6h2-A', 'Tina N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 42))
('VfcceTxKiBq4xaeZFywRQg', 'Michelle F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 20))
('vFF_2weG0G4rYsy1uexFvA', 'James C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('vFnUXZtI812TTIib1qdlZQ', 'Adam L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('VFRIv3-_Og34wZyy-LigQQ', 'Jess D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 29))
('vgLvbLGXf9e2CMBkpxqM1Q', 'Jesse G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 1))
('vH2z02KxUJALr6CejevXIA', 'Elaine L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('VhHlJRcOg5BgXq9FYg73BQ', 'Nhan T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 7))
('vhIejGwvyCr-TmjSZeCxtA', 'Tina D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('vho3rur8sdVMJwpWpKFakg', 'Joey P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 45))
('viWkK6--5ChiN3hlZ8XqTg', 'Chris W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('VIzZb7cYpoGrY7YwGKCDvg', 'Charlie C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('VJ_KLhFYbNe03GVwyz5_RA', 'Emkay V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('VjLNxDu20j3jWoB3AV7jSg', 'Josh S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 55))
('vJvIXMIViUDuMZGqYchuog', 'Steve S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 30))
('vkqrsBOeuyPx30SVkmsJJA', 'Anusha S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 50))
('vL0DxXBz6ZnQtXvK1mG19A', 'Stewart R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 57, 26))
('vl7KayNgji810LwRck-KLw', 'Flo G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 23))
('vLpzNVx2O_aBBFI_NcQUAQ', 'Preston S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('vM1nwfPP_C0dNVvBXtPulg', 'Kaneia J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 21))
('Vm4-y65UyxMfAWqWZLGnjA', 'Jessica M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('VN3HUv_KRZj-56lb8VyKvg', 'Joe W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 26))
